,Message,Timestamp,Value,Geometry
61,unloading stop,2019-03-15 02:13:41.781556,345000.0,POINT (4.18055556 52.18664444)
62,unloading start,2019-03-15 04:15:35.929831,345000.0,POINT (4.18055556 52.18664444)
63,unloading stop,2019-03-15 05:11:09.263164,340000.0,POINT (4.18055556 52.18664444)
64,unloading start,2019-03-15 07:13:03.411438,340000.0,POINT (4.18055556 52.18664444)
65,unloading stop,2019-03-15 08:08:36.744771,335000.0,POINT (4.18055556 52.18664444)
66,unloading start,2019-03-15 10:10:30.893045,335000.0,POINT (4.18055556 52.18664444)
67,unloading stop,2019-03-15 11:06:04.226379,330000.0,POINT (4.18055556 52.18664444)
68,unloading start,2019-03-15 13:07:58.374653,330000.0,POINT (4.18055556 52.18664444)
69,unloading stop,2019-03-15 14:03:31.707986,325000.0,POINT (4.18055556 52.18664444)
70,unloading start,2019-03-15 16:05:25.856260,325000.0,POINT (4.18055556 52.18664444)
71,unloading stop,2019-03-15 17:00:59.189594,320000.0,POINT (4.18055556 52.18664444)
72,unloading start,2019-03-15 19:02:53.337868,320000.0,POINT (4.18055556 52.18664444)
73,unloading stop,2019-03-15 19:58:26.671201,315000.0,POINT (4.18055556 52.18664444)
74,unloading start,2019-03-15 22:00:20.819475,315000.0,POINT (4.18055556 52.18664444)
75,unloading stop,2019-03-15 22:55:54.152808,310000.0,POINT (4.18055556 52.18664444)
76,unloading start,2019-03-16 00:57:48.301083,310000.0,POINT (4.18055556 52.18664444)
77,unloading stop,2019-03-16 01:53:21.634416,305000.0,POINT (4.18055556 52.18664444)
78,unloading start,2019-03-16 03:55:15.782690,305000.0,POINT (4.18055556 52.18664444)
79,unloading stop,2019-03-16 04:50:49.116023,300000.0,POINT (4.18055556 52.18664444)
80,unloading start,2019-03-16 06:52:43.264297,300000.0,POINT (4.18055556 52.18664444)
81,unloading stop,2019-03-16 07:48:16.597631,295000.0,POINT (4.18055556 52.18664444)
82,unloading start,2019-03-16 09:50:10.745905,295000.0,POINT (4.18055556 52.18664444)
83,unloading stop,2019-03-16 10:45:44.079238,290000.0,POINT (4.18055556 52.18664444)
84,unloading start,2019-03-16 12:47:38.227512,290000.0,POINT (4.18055556 52.18664444)
85,unloading stop,2019-03-16 13:43:11.560846,285000.0,POINT (4.18055556 52.18664444)
86,unloading start,2019-03-16 15:45:05.709120,285000.0,POINT (4.18055556 52.18664444)
87,unloading stop,2019-03-16 16:40:39.042453,280000.0,POINT (4.18055556 52.18664444)
88,unloading start,2019-03-16 18:42:33.190727,280000.0,POINT (4.18055556 52.18664444)
89,unloading stop,2019-03-16 19:38:06.524060,275000.0,POINT (4.18055556 52.18664444)
90,unloading start,2019-03-16 21:40:00.672335,275000.0,POINT (4.18055556 52.18664444)
91,unloading stop,2019-03-16 22:35:34.005668,270000.0,POINT (4.18055556 52.18664444)
92,unloading start,2019-03-17 00:37:28.153942,270000.0,POINT (4.18055556 52.18664444)
93,unloading stop,2019-03-17 01:33:01.487275,265000.0,POINT (4.18055556 52.18664444)
94,unloading start,2019-03-17 03:34:55.635550,265000.0,POINT (4.18055556 52.18664444)
95,unloading stop,2019-03-17 04:30:28.968883,260000.0,POINT (4.18055556 52.18664444)
96,unloading start,2019-03-17 06:32:23.117157,260000.0,POINT (4.18055556 52.18664444)
97,unloading stop,2019-03-17 07:27:56.450490,255000.0,POINT (4.18055556 52.18664444)
98,unloading start,2019-03-17 09:29:50.598764,255000.0,POINT (4.18055556 52.18664444)
99,unloading stop,2019-03-17 10:25:23.932098,250000.0,POINT (4.18055556 52.18664444)
100,unloading start,2019-03-17 12:27:18.080372,250000.0,POINT (4.18055556 52.18664444)
101,unloading stop,2019-03-17 13:22:51.413705,245000.0,POINT (4.18055556 52.18664444)
102,unloading start,2019-03-17 15:24:45.561979,245000.0,POINT (4.18055556 52.18664444)
103,unloading stop,2019-03-17 16:20:18.895313,240000.0,POINT (4.18055556 52.18664444)
104,unloading start,2019-03-17 18:22:13.043587,240000.0,POINT (4.18055556 52.18664444)
105,unloading stop,2019-03-17 19:17:46.376920,235000.0,POINT (4.18055556 52.18664444)
106,unloading start,2019-03-17 21:19:40.525194,235000.0,POINT (4.18055556 52.18664444)
107,unloading stop,2019-03-17 22:15:13.858527,230000.0,POINT (4.18055556 52.18664444)
108,unloading start,2019-03-18 00:17:08.006802,230000.0,POINT (4.18055556 52.18664444)
109,unloading stop,2019-03-18 01:12:41.340135,225000.0,POINT (4.18055556 52.18664444)
110,unloading start,2019-03-18 03:14:35.488409,225000.0,POINT (4.18055556 52.18664444)
111,unloading stop,2019-03-18 04:10:08.821742,220000.0,POINT (4.18055556 52.18664444)
112,unloading start,2019-03-18 06:12:02.970016,220000.0,POINT (4.18055556 52.18664444)
113,unloading stop,2019-03-18 07:07:36.303350,215000.0,POINT (4.18055556 52.18664444)
114,unloading start,2019-03-18 09:09:30.451624,215000.0,POINT (4.18055556 52.18664444)
115,unloading stop,2019-03-18 10:05:03.784957,210000.0,POINT (4.18055556 52.18664444)
116,unloading start,2019-03-18 12:06:57.933231,210000.0,POINT (4.18055556 52.18664444)
117,unloading stop,2019-03-18 13:02:31.266565,205000.0,POINT (4.18055556 52.18664444)
118,unloading start,2019-03-18 15:04:25.414839,205000.0,POINT (4.18055556 52.18664444)
119,unloading stop,2019-03-18 15:59:58.748172,200000.0,POINT (4.18055556 52.18664444)
120,unloading start,2019-03-18 18:01:52.896446,200000.0,POINT (4.18055556 52.18664444)
121,unloading stop,2019-03-18 18:57:26.229779,195000.0,POINT (4.18055556 52.18664444)
122,unloading start,2019-03-18 20:59:20.378054,195000.0,POINT (4.18055556 52.18664444)
123,unloading stop,2019-03-18 21:54:53.711387,190000.0,POINT (4.18055556 52.18664444)
124,unloading start,2019-03-18 23:56:47.859661,190000.0,POINT (4.18055556 52.18664444)
125,unloading stop,2019-03-19 00:52:21.192994,185000.0,POINT (4.18055556 52.18664444)
126,unloading start,2019-03-19 02:54:15.341269,185000.0,POINT (4.18055556 52.18664444)
127,unloading stop,2019-03-19 03:49:48.674602,180000.0,POINT (4.18055556 52.18664444)
128,unloading start,2019-03-19 05:51:42.822876,180000.0,POINT (4.18055556 52.18664444)
129,unloading stop,2019-03-19 06:47:16.156209,175000.0,POINT (4.18055556 52.18664444)
130,unloading start,2019-03-19 08:49:10.304483,175000.0,POINT (4.18055556 52.18664444)
131,unloading stop,2019-03-19 09:44:43.637817,170000.0,POINT (4.18055556 52.18664444)
132,unloading start,2019-03-19 11:46:37.786091,170000.0,POINT (4.18055556 52.18664444)
133,unloading stop,2019-03-19 12:42:11.119424,165000.0,POINT (4.18055556 52.18664444)
134,unloading start,2019-03-19 14:44:05.267698,165000.0,POINT (4.18055556 52.18664444)
135,unloading stop,2019-03-19 15:39:38.601032,160000.0,POINT (4.18055556 52.18664444)
136,unloading start,2019-03-19 17:41:32.749306,160000.0,POINT (4.18055556 52.18664444)
137,unloading stop,2019-03-19 18:37:06.082639,155000.0,POINT (4.18055556 52.18664444)
138,unloading start,2019-03-19 20:39:00.230913,155000.0,POINT (4.18055556 52.18664444)
139,unloading stop,2019-03-19 21:34:33.564246,150000.0,POINT (4.18055556 52.18664444)
140,unloading start,2019-03-19 23:36:27.712521,150000.0,POINT (4.18055556 52.18664444)
141,unloading stop,2019-03-20 00:32:01.045854,145000.0,POINT (4.18055556 52.18664444)
142,unloading start,2019-03-20 02:33:55.194128,145000.0,POINT (4.18055556 52.18664444)
143,unloading stop,2019-03-20 03:29:28.527461,140000.0,POINT (4.18055556 52.18664444)
144,unloading start,2019-03-20 05:31:22.675735,140000.0,POINT (4.18055556 52.18664444)
145,unloading stop,2019-03-20 06:26:56.009069,135000.0,POINT (4.18055556 52.18664444)
146,unloading start,2019-03-20 08:28:50.157343,135000.0,POINT (4.18055556 52.18664444)
147,unloading stop,2019-03-20 09:24:23.490676,130000.0,POINT (4.18055556 52.18664444)
148,unloading start,2019-03-20 11:26:17.638950,130000.0,POINT (4.18055556 52.18664444)
149,unloading stop,2019-03-20 12:21:50.972284,125000.0,POINT (4.18055556 52.18664444)
150,unloading start,2019-03-20 14:23:45.120558,125000.0,POINT (4.18055556 52.18664444)
151,unloading stop,2019-03-20 15:19:18.453891,120000.0,POINT (4.18055556 52.18664444)
152,unloading start,2019-03-20 17:21:12.602165,120000.0,POINT (4.18055556 52.18664444)
153,unloading stop,2019-03-20 18:16:45.935498,115000.0,POINT (4.18055556 52.18664444)
154,unloading start,2019-03-20 20:18:40.083773,115000.0,POINT (4.18055556 52.18664444)
155,unloading stop,2019-03-20 21:14:13.417106,110000.0,POINT (4.18055556 52.18664444)
156,unloading start,2019-03-20 23:16:07.565380,110000.0,POINT (4.18055556 52.18664444)
157,unloading stop,2019-03-21 00:11:40.898713,105000.0,POINT (4.18055556 52.18664444)
158,unloading start,2019-03-21 02:13:35.046988,105000.0,POINT (4.18055556 52.18664444)
159,unloading stop,2019-03-21 03:09:08.380321,100000.0,POINT (4.18055556 52.18664444)
160,unloading start,2019-03-21 05:11:02.528595,100000.0,POINT (4.18055556 52.18664444)
161,unloading stop,2019-03-21 06:06:35.861928,95000.0,POINT (4.18055556 52.18664444)
162,unloading start,2019-03-21 08:08:30.010202,95000.0,POINT (4.18055556 52.18664444)
163,unloading stop,2019-03-21 09:04:03.343536,90000.0,POINT (4.18055556 52.18664444)
164,unloading start,2019-03-21 11:05:57.491810,90000.0,POINT (4.18055556 52.18664444)
165,unloading stop,2019-03-21 12:01:30.825143,85000.0,POINT (4.18055556 52.18664444)
166,unloading start,2019-03-21 14:03:24.973417,85000.0,POINT (4.18055556 52.18664444)
167,unloading stop,2019-03-21 14:58:58.306751,80000.0,POINT (4.18055556 52.18664444)
168,unloading start,2019-03-21 17:00:52.455025,80000.0,POINT (4.18055556 52.18664444)
169,unloading stop,2019-03-21 17:56:25.788358,75000.0,POINT (4.18055556 52.18664444)
170,unloading start,2019-03-21 19:58:19.936632,75000.0,POINT (4.18055556 52.18664444)
171,unloading stop,2019-03-21 20:53:53.269965,70000.0,POINT (4.18055556 52.18664444)
172,unloading start,2019-03-21 22:55:47.418240,70000.0,POINT (4.18055556 52.18664444)
173,unloading stop,2019-03-21 23:51:20.751573,65000.0,POINT (4.18055556 52.18664444)
174,unloading start,2019-03-22 01:53:14.899847,65000.0,POINT (4.18055556 52.18664444)
175,unloading stop,2019-03-22 02:48:48.233180,60000.0,POINT (4.18055556 52.18664444)
176,unloading start,2019-03-22 04:50:42.381454,60000.0,POINT (4.18055556 52.18664444)
177,unloading stop,2019-03-22 05:46:15.714788,55000.0,POINT (4.18055556 52.18664444)
178,unloading start,2019-03-22 07:48:09.863062,55000.0,POINT (4.18055556 52.18664444)
179,unloading stop,2019-03-22 08:43:43.196395,50000.0,POINT (4.18055556 52.18664444)
180,unloading start,2019-03-22 10:45:37.344669,50000.0,POINT (4.18055556 52.18664444)
181,unloading stop,2019-03-22 11:41:10.678003,45000.0,POINT (4.18055556 52.18664444)
182,unloading start,2019-03-22 13:43:04.826277,45000.0,POINT (4.18055556 52.18664444)
183,unloading stop,2019-03-22 14:38:38.159610,40000.0,POINT (4.18055556 52.18664444)
184,unloading start,2019-03-22 16:40:32.307884,40000.0,POINT (4.18055556 52.18664444)
185,unloading stop,2019-03-22 17:36:05.641217,35000.0,POINT (4.18055556 52.18664444)
186,unloading start,2019-03-22 19:37:59.789492,35000.0,POINT (4.18055556 52.18664444)
187,unloading stop,2019-03-22 20:33:33.122825,30000.0,POINT (4.18055556 52.18664444)
188,unloading start,2019-03-22 22:35:27.271099,30000.0,POINT (4.18055556 52.18664444)
189,unloading stop,2019-03-22 23:31:00.604432,25000.0,POINT (4.18055556 52.18664444)
190,unloading start,2019-03-23 01:32:54.752707,25000.0,POINT (4.18055556 52.18664444)
191,unloading stop,2019-03-23 02:28:28.086040,20000.0,POINT (4.18055556 52.18664444)
192,unloading start,2019-03-23 04:30:22.234314,20000.0,POINT (4.18055556 52.18664444)
193,unloading stop,2019-03-23 05:25:55.567647,15000.0,POINT (4.18055556 52.18664444)
194,unloading start,2019-03-23 07:27:49.715921,15000.0,POINT (4.18055556 52.18664444)
195,unloading stop,2019-03-23 08:23:23.049255,10000.0,POINT (4.18055556 52.18664444)
196,unloading start,2019-03-23 10:25:17.197529,10000.0,POINT (4.18055556 52.18664444)
197,unloading stop,2019-03-23 11:20:50.530862,5000.0,POINT (4.18055556 52.18664444)
198,unloading start,2019-03-23 13:22:44.679136,5000.0,POINT (4.18055556 52.18664444)
199,unloading stop,2019-03-23 14:18:18.012470,0.0,POINT (4.18055556 52.18664444)
