,Message,Timestamp,Value,Geometry
1157,sailing filled stop,2019-03-23 06:00:50.733406,5000.0,POINT (4.25222222 52.11428333)
1158,unloading start,2019-03-23 06:00:50.733406,5000.0,POINT (4.25222222 52.11428333)
1159,unloading stop,2019-03-23 06:56:24.066739,0.0,POINT (4.25222222 52.11428333)
1160,sailing empty start,2019-03-23 06:56:24.066739,0.0,POINT (4.25222222 52.11428333)
1161,sailing empty stop,2019-03-23 07:27:49.715921,0.0,POINT (4.18055556 52.18664444)
1162,sailing empty start,2019-03-23 07:27:49.715921,0.0,POINT (4.18055556 52.18664444)
1163,sailing empty stop,2019-03-23 07:27:49.715921,0.0,POINT (4.18055556 52.18664444)
1164,loading start,2019-03-23 07:27:49.715921,0.0,POINT (4.18055556 52.18664444)
1165,loading stop,2019-03-23 08:23:23.049255,5000.0,POINT (4.18055556 52.18664444)
1166,sailing filled start,2019-03-23 08:23:23.049255,5000.0,POINT (4.18055556 52.18664444)
1167,sailing filled stop,2019-03-23 08:58:18.215013,5000.0,POINT (4.25222222 52.11428333)
1168,sailing filled start,2019-03-23 08:58:18.215013,5000.0,POINT (4.25222222 52.11428333)
1169,sailing filled stop,2019-03-23 08:58:18.215013,5000.0,POINT (4.25222222 52.11428333)
1170,unloading start,2019-03-23 08:58:18.215013,5000.0,POINT (4.25222222 52.11428333)
1171,unloading stop,2019-03-23 09:53:51.548346,0.0,POINT (4.25222222 52.11428333)
1172,sailing empty start,2019-03-23 09:53:51.548346,0.0,POINT (4.25222222 52.11428333)
1173,sailing empty stop,2019-03-23 10:25:17.197529,0.0,POINT (4.18055556 52.18664444)
1174,sailing empty start,2019-03-23 10:25:17.197529,0.0,POINT (4.18055556 52.18664444)
1175,sailing empty stop,2019-03-23 10:25:17.197529,0.0,POINT (4.18055556 52.18664444)
1176,loading start,2019-03-23 10:25:17.197529,0.0,POINT (4.18055556 52.18664444)
1177,loading stop,2019-03-23 11:20:50.530862,5000.0,POINT (4.18055556 52.18664444)
1178,sailing filled start,2019-03-23 11:20:50.530862,5000.0,POINT (4.18055556 52.18664444)
1179,sailing filled stop,2019-03-23 11:55:45.696620,5000.0,POINT (4.25222222 52.11428333)
1180,sailing filled start,2019-03-23 11:55:45.696620,5000.0,POINT (4.25222222 52.11428333)
1181,sailing filled stop,2019-03-23 11:55:45.696620,5000.0,POINT (4.25222222 52.11428333)
1182,unloading start,2019-03-23 11:55:45.696620,5000.0,POINT (4.25222222 52.11428333)
1183,unloading stop,2019-03-23 12:51:19.029954,0.0,POINT (4.25222222 52.11428333)
1184,sailing empty start,2019-03-23 12:51:19.029954,0.0,POINT (4.25222222 52.11428333)
1185,sailing empty stop,2019-03-23 13:22:44.679136,0.0,POINT (4.18055556 52.18664444)
1186,sailing empty start,2019-03-23 13:22:44.679136,0.0,POINT (4.18055556 52.18664444)
1187,sailing empty stop,2019-03-23 13:22:44.679136,0.0,POINT (4.18055556 52.18664444)
1188,loading start,2019-03-23 13:22:44.679136,0.0,POINT (4.18055556 52.18664444)
1189,loading stop,2019-03-23 14:18:18.012470,5000.0,POINT (4.18055556 52.18664444)
1190,sailing filled start,2019-03-23 14:18:18.012470,5000.0,POINT (4.18055556 52.18664444)
1191,sailing filled stop,2019-03-23 14:53:13.178228,5000.0,POINT (4.25222222 52.11428333)
1192,sailing filled start,2019-03-23 14:53:13.178228,5000.0,POINT (4.25222222 52.11428333)
1193,sailing filled stop,2019-03-23 14:53:13.178228,5000.0,POINT (4.25222222 52.11428333)
1194,unloading start,2019-03-23 14:53:13.178228,5000.0,POINT (4.25222222 52.11428333)
1195,unloading stop,2019-03-23 15:48:46.511561,0.0,POINT (4.25222222 52.11428333)
