trip,ActivityID,ActivityName,ActivityClass,TimestampStart,TimestampStop,TimestampDt
1,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 00:00:00,1970-01-01 00:42:24,2544.0
2,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 00:00:00,1970-01-01 03:20:57,12057.0
3,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 00:42:24,1970-01-01 04:03:21,12057.0
4,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 03:20:57,1970-01-01 04:45:45,5088.0
5,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 04:03:21,1970-01-01 04:45:45,2544.0
6,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 04:45:45,1970-01-01 05:28:09,2544.0
7,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 04:45:45,1970-01-01 08:12:37,12412.0
8,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 05:28:09,1970-01-01 08:55:01,12412.0
9,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 08:12:37,1970-01-01 09:37:25,5088.0
10,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 08:55:01,1970-01-01 09:37:25,2544.0
11,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 09:37:25,1970-01-01 10:19:49,2544.0
12,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 09:37:25,1970-01-01 13:04:17,12412.0
13,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 10:19:49,1970-01-01 13:46:41,12412.0
14,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 13:04:17,1970-01-01 14:29:05,5088.0
15,69a03af7-afd1-4905-92b9-8796dcca531f,sequential_activity_subcycle:sequential_activity_subcycle Carrier A,SequentialActivity,1970-01-01 13:46:41,1970-01-01 14:29:05,2544.0
1,a1c4bcbe-a173-41a2-991d-1b119f45e6b1,sailing empty: sailing empty Carrier A,MoveActivity,1970-01-01 00:00:00,1970-01-01 00:42:24,2544.0
2,a1c4bcbe-a173-41a2-991d-1b119f45e6b1,sailing empty: sailing empty Carrier A,MoveActivity,1970-01-01 04:45:45,1970-01-01 05:28:09,2544.0
3,a1c4bcbe-a173-41a2-991d-1b119f45e6b1,sailing empty: sailing empty Carrier A,MoveActivity,1970-01-01 09:37:25,1970-01-01 10:19:49,2544.0
1,31db5da7-5646-4702-ae02-b5916d04b70f,loading: loading Carrier A,ShiftAmountActivity,1970-01-01 02:39:17,1970-01-01 03:20:57,2500.0
2,31db5da7-5646-4702-ae02-b5916d04b70f,loading: loading Carrier A,ShiftAmountActivity,1970-01-01 07:30:57,1970-01-01 08:12:37,2500.0
3,31db5da7-5646-4702-ae02-b5916d04b70f,loading: loading Carrier A,ShiftAmountActivity,1970-01-01 12:22:37,1970-01-01 13:04:17,2500.0
1,57c8e1c1-084a-4f13-9968-5a311c06f034,sailing full: sailing full Carrier A,MoveActivity,1970-01-01 03:20:57,1970-01-01 04:03:21,2544.0
2,57c8e1c1-084a-4f13-9968-5a311c06f034,sailing full: sailing full Carrier A,MoveActivity,1970-01-01 08:12:37,1970-01-01 08:55:01,2544.0
3,57c8e1c1-084a-4f13-9968-5a311c06f034,sailing full: sailing full Carrier A,MoveActivity,1970-01-01 13:04:17,1970-01-01 13:46:41,2544.0
1,b92de4e2-dc1f-4c97-99c9-184ee40cf14e,unloading: unloading Carrier A,ShiftAmountActivity,1970-01-01 04:03:21,1970-01-01 04:45:45,2544.0
2,b92de4e2-dc1f-4c97-99c9-184ee40cf14e,unloading: unloading Carrier A,ShiftAmountActivity,1970-01-01 08:55:01,1970-01-01 09:37:25,2544.0
3,b92de4e2-dc1f-4c97-99c9-184ee40cf14e,unloading: unloading Carrier A,ShiftAmountActivity,1970-01-01 13:46:41,1970-01-01 14:29:05,2544.0
1,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 00:00:00,1970-01-01 00:47:40,2860.0
2,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 00:00:00,1970-01-01 04:44:17,17057.0
3,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 00:47:40,1970-01-01 05:31:57,17057.0
4,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 04:44:17,1970-01-01 06:19:37,5720.0
5,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 05:31:57,1970-01-01 06:19:37,2860.0
6,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 06:19:37,1970-01-01 07:07:17,2860.0
7,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 06:19:37,1970-01-01 09:35:57,11780.0
8,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 07:07:17,1970-01-01 10:23:37,11780.0
9,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 09:35:57,1970-01-01 11:11:17,5720.0
10,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 10:23:37,1970-01-01 11:11:17,2860.0
11,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 11:11:17,1970-01-01 11:58:57,2860.0
12,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 11:11:17,1970-01-01 14:27:37,11780.0
13,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 11:58:57,1970-01-01 15:15:17,11780.0
14,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 14:27:37,1970-01-01 16:02:57,5720.0
15,edc6089f-eccf-4bf6-8668-deed4edb00f9,sequential_activity_subcycle:sequential_activity_subcycle Carrier B,SequentialActivity,1970-01-01 15:15:17,1970-01-01 16:02:57,2860.0
1,8882c57e-343a-487c-ab78-a7a735595347,sailing empty: sailing empty Carrier B,MoveActivity,1970-01-01 00:00:00,1970-01-01 00:47:40,2860.0
2,8882c57e-343a-487c-ab78-a7a735595347,sailing empty: sailing empty Carrier B,MoveActivity,1970-01-01 06:19:37,1970-01-01 07:07:17,2860.0
3,8882c57e-343a-487c-ab78-a7a735595347,sailing empty: sailing empty Carrier B,MoveActivity,1970-01-01 11:11:17,1970-01-01 11:58:57,2860.0
1,f0a40bbc-abcb-4aef-95ce-ef8e6b4fae3b,loading: loading Carrier B,ShiftAmountActivity,1970-01-01 04:02:37,1970-01-01 04:44:17,2500.0
2,f0a40bbc-abcb-4aef-95ce-ef8e6b4fae3b,loading: loading Carrier B,ShiftAmountActivity,1970-01-01 08:54:17,1970-01-01 09:35:57,2500.0
3,f0a40bbc-abcb-4aef-95ce-ef8e6b4fae3b,loading: loading Carrier B,ShiftAmountActivity,1970-01-01 13:45:57,1970-01-01 14:27:37,2500.0
1,d8d5f971-f0bd-44df-9e7e-2aae9779ff1f,sailing full: sailing full Carrier B,MoveActivity,1970-01-01 04:44:17,1970-01-01 05:31:57,2860.0
2,d8d5f971-f0bd-44df-9e7e-2aae9779ff1f,sailing full: sailing full Carrier B,MoveActivity,1970-01-01 09:35:57,1970-01-01 10:23:37,2860.0
3,d8d5f971-f0bd-44df-9e7e-2aae9779ff1f,sailing full: sailing full Carrier B,MoveActivity,1970-01-01 14:27:37,1970-01-01 15:15:17,2860.0
1,86cdebc8-2673-40b2-b5d9-a2e43ba36c2a,unloading: unloading Carrier B,ShiftAmountActivity,1970-01-01 05:31:57,1970-01-01 06:19:37,2860.0
2,86cdebc8-2673-40b2-b5d9-a2e43ba36c2a,unloading: unloading Carrier B,ShiftAmountActivity,1970-01-01 10:23:37,1970-01-01 11:11:17,2860.0
3,86cdebc8-2673-40b2-b5d9-a2e43ba36c2a,unloading: unloading Carrier B,ShiftAmountActivity,1970-01-01 15:15:17,1970-01-01 16:02:57,2860.0
1,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 00:00:00,1970-01-01 00:34:17,2057.0
2,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 00:00:00,1970-01-01 01:15:57,4557.0
3,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 00:34:17,1970-01-01 01:50:14,4557.0
4,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 01:15:57,1970-01-01 02:24:31,4114.0
5,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 01:50:14,1970-01-01 02:24:31,2057.0
