SimulationID,ObjectID,EventID,LocationID,SpillStart,SpillStop,SpillDuration,Spill
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 00:00:00.000000,2019-01-29 00:55:33.333333,0.03858024690972222,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 02:57:27.481607,2019-01-29 03:53:00.814941,0.038580246921296295,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 05:54:54.963215,2019-01-29 06:50:28.296548,0.03858024690972222,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 08:52:22.444822,2019-01-29 09:47:55.778156,0.038580246921296295,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 11:49:49.926430,2019-01-29 12:45:23.259763,0.03858024690972222,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 14:47:17.408037,2019-01-29 15:42:50.741370,0.03858024690972222,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 17:44:44.889645,2019-01-29 18:40:18.222978,0.03858024690972222,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 20:42:12.371252,2019-01-29 21:37:45.704585,0.03858024690972222,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-29 23:39:39.852859,2019-01-30 00:35:13.186193,0.038580246921296295,5250.0
0b5f6b0c-4591-11e9-9288-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,1654ee36-4644-11e9-800d-e4b97a38cea1,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-01-30 02:37:07.334467,2019-01-30 03:32:40.667800,0.03858024690972222,5250.0
