SimulationID,SimulationDuration,SimulationCost
1ad9cb7a-4570-11e9-9c61-b469212bff5b,1062862.511561,1230164.9439363426
5e1d7c36-458e-11e9-816b-b469212bff5b,1062862.511561,1230164.9439363426
6f1aed5a-458f-11e9-861a-b469212bff5b,1062862.511561,1230164.9439363426
0b5f6b0c-4591-11e9-9288-b469212bff5b,3482062.511561,4030164.9439363424
