LocationID,LocationName,Longitude,Latitude
f598d95d-9754-11e9-86d8-2079183a5c9a,Borrow area,4.212372,52.114205
f598d95e-9754-11e9-b15b-2079183a5c9a,Reclamation,4.278752,52.115987
