SimulationID,ObjectID,EventID,ActivityID,LocationID,EventStart,EventStop,EventDuration
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,9560ca7a-9e24-11e9-b3e0-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 00:00:00.000000,2000-01-01 00:50:00.000000,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,9560ca7a-9e24-11e9-b3e0-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 00:00:00.000000,2000-01-01 00:50:00.000000,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95611886-9e24-11e9-a5ac-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 00:50:00.000000,2000-01-01 01:08:25.917943,0.01279997619212963
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95616652-9e24-11e9-aacd-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a94-9e24-11e9-9832-2079183a5c9a,2000-01-01 01:08:25.917943,2000-01-01 01:58:25.917943,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95616652-9e24-11e9-aacd-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a94-9e24-11e9-9832-2079183a5c9a,2000-01-01 01:08:25.917943,2000-01-01 01:58:25.917943,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95618d48-9e24-11e9-a699-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a94-9e24-11e9-9832-2079183a5c9a,2000-01-01 01:58:25.917943,2000-01-01 02:16:51.835886,0.01279997619212963
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,9560ca7a-9e24-11e9-b3e0-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 02:16:51.835886,2000-01-01 03:06:51.835886,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,9560ca7a-9e24-11e9-b3e0-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 02:16:51.835886,2000-01-01 03:06:51.835886,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95611886-9e24-11e9-a5ac-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 03:06:51.835886,2000-01-01 03:25:17.753828,0.012799976180555556
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95616652-9e24-11e9-aacd-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a94-9e24-11e9-9832-2079183a5c9a,2000-01-01 03:25:17.753828,2000-01-01 04:15:17.753828,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95616652-9e24-11e9-aacd-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a94-9e24-11e9-9832-2079183a5c9a,2000-01-01 03:25:17.753828,2000-01-01 04:15:17.753828,0.034722222222222224
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,95618d48-9e24-11e9-a699-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a94-9e24-11e9-9832-2079183a5c9a,2000-01-01 04:15:17.753828,2000-01-01 04:33:43.671771,0.01279997619212963
955d238c-9e24-11e9-a91c-2079183a5c9a,9557344a-9e24-11e9-8224-2079183a5c9a,9560ca7a-9e24-11e9-b3e0-2079183a5c9a,9557344b-9e24-11e9-8948-2079183a5c9a,95564a93-9e24-11e9-8ef0-2079183a5c9a,2000-01-01 04:33:43.671771,2000-01-01 05:23:43.671771,0.034722222222222224
